t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0,-2.3,1,1.5,1,1.32E-24,5.57E-25,2.26E-25,-1.09E-24,3.04E-26,3.59E-26,0,-1.43E-24,-2.75E-25,1.03E-21,-3.09E-22,-43.2119558,2.16E-27,4.75E-22,-3.726483119,1.267023543,1.472057967,1.267023543,1.472057967,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0.00300114,-2.3,1,1.498054723,0.999999996,1.15E-24,-1.73E-26,-8.39E-05,2.01E-24,-8.97E-25,-0.129685109,6.47E-30,3.96E-29,-0.011183696,-0.000549342,-0.041502357,-43.13651531,50.43710005,-0.65396739,-3.795068345,1.41702063,1.329607083,1.117027767,1.622057402,0.996153999,0.003846001,0.089948856,0.998913057,0.001086943,0.089939411,0.99891367,0.00108633,0.047332281,0.998914495,0.001085505,0.045062164,0.998915738,0.001084262,0.044771174,0.998918234,0.001081766,0.044935432
0.00600228,-2.300000012,0.999999066,1.492222291,0.999999299,0.001135265,-1.48E-05,-0.000337055,-1.65E-06,-0.000124554,-0.259143811,0.151368775,-0.001962647,-0.022573226,-0.004457747,-0.322295434,-37.14337113,50.46648813,-0.720789403,-3.797707557,1.567015567,1.479571238,1.266705886,1.772056727,0.992308084,0.003845915,0.089947259,0.997826121,0.001086936,0.089938528,0.997826726,0.001086944,0.048576225,0.997827551,0.001086944,0.045062957,0.997828794,0.001086944,0.044771717,0.99783129,0.001086944,0.044937044
0.00900342,-2.300000217,0.99998393,1.482775907,0.999989395,0.004541701,-6.10E-05,-0.000761133,-1.50E-05,-0.001091808,-0.370616251,0.302825749,-0.004125837,-0.033970676,-0.014195103,-0.961135883,-31.15233165,50.46679286,-0.790207096,-3.79764702,1.717005204,1.629549668,1.416700526,1.922055911,0.98846248,0.003845604,0.089945554,0.996739206,0.001086915,0.089937607,0.996739703,0.001087023,0.052031512,0.996740528,0.001087023,0.045063024,0.996741771,0.001087023,0.044771768,0.996744267,0.001087023,0.044937087
0.0120046,-2.300001215,0.999913601,1.470255116,0.999946846,0.010219836,-0.000141983,-0.001356169,-5.76E-05,-0.003976311,-0.464108745,0.454283636,-0.006497359,-0.045367944,-0.032506411,-2.0395916,-25.17720271,50.46434238,-0.886817525,-3.797779348,1.866974848,1.779531753,1.566697404,2.072054911,0.984617546,0.003844934,0.089943726,0.995652327,0.001086878,0.089936494,0.995652326,0.001087377,0.074563365,0.995653151,0.001087377,0.045063278,0.995654394,0.001087377,0.044771914,0.99565689,0.001087377,0.044937228
0.0150057,-2.300004249,0.999711179,1.455198696,0.999832642,0.018169091,-0.000261978,-0.002122155,-0.000155185,-0.01009741,-0.539669044,0.60573417,-0.009158822,-0.05676561,-0.040280397,-3.518827909,-21.37824034,32.20342738,17.25918395,-5.748416122,1.802307034,1.929514297,1.716694968,2.222053666,0.980773691,0.003843856,0.08994176,0.994565592,0.001086736,0.089497928,0.994577216,0.00107511,0.089924745,0.994578041,0.00107511,0.04505676,0.994579284,0.00107511,0.044769599,0.99458178,0.00107511,0.044933468
0.0180068,-2.300010948,0.999261127,1.438046759,0.999603748,0.027978064,-1.32E-05,-0.003094389,-0.000276072,-0.020657903,-0.603828127,0.702381149,0.042638398,-0.074017409,0.080150968,-5.303094765,-18.47473967,6.743843077,42.63363244,-8.473472904,1.652418369,2.07949516,1.866692807,2.372052084,0.976931243,0.003842448,0.089939643,0.993478867,0.001086725,0.089483054,0.993518128,0.001059088,0.08992142,0.993518953,0.001059088,0.04504856,0.993520196,0.001059088,0.044766607,0.993522692,0.001059088,0.044928613
0.021008,-2.300017438,0.998415423,1.419101091,0.999241538,0.038664324,0.001589802,-0.004346398,-3.55E-05,-0.036573231,-0.659273398,0.722620363,0.170587878,-0.099447484,0.514374861,-7.430446973,-13.91915025,-4.069744146,53.44825079,-9.645029091,1.673474843,2.229471756,2.016690739,2.522050027,0.973090327,0.003840915,0.089937367,0.992392069,0.001086798,0.089469372,0.992474681,0.001043446,0.089917912,0.992475507,0.001043446,0.045040925,0.99247675,0.001043446,0.044763738,0.992479246,0.001043446,0.044923907
0.0240091,-2.299999967,0.996997331,1.398697522,0.998746385,0.049414336,0.005369241,-0.005920747,0.001508183,-0.058873039,-0.701046711,0.710406493,0.330993537,-0.128393562,1.424209003,-9.885652999,-8.146896283,-3.819892428,53.29587341,-9.645149961,1.823428526,2.379439414,2.16668865,2.672047263,0.969250662,0.003839666,0.089934926,0.991305035,0.001087034,0.089455574,0.991446461,0.00102822,0.08991425,0.991447286,0.00102822,0.04503383,0.991448529,0.00102822,0.044760949,0.991451026,0.00102822,0.044919298
0.0270103,-2.299898757,0.994800472,1.377301083,0.998101294,0.059991468,0.011569964,-0.007808224,0.005782433,-0.088541263,-0.725496683,0.698942463,0.49094189,-0.157340003,2.902988335,-12.56823298,-2.464186348,-3.489510987,53.14733647,-9.644833049,1.973408876,2.529386563,2.316686445,2.822043386,0.965411231,0.003839431,0.089932326,0.990217479,0.001087556,0.089441503,0.990432985,0.001013476,0.089910449,0.990433811,0.001013476,0.045027247,0.990435054,0.001013476,0.04475817,0.99043755,0.001013476,0.044914728
