t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0,-2.3,-1,1.5,1,1.65E-26,-1.61E-25,7.69E-25,-6.21E-25,1.97E-24,-2.92E-25,-3.36E-25,-1.42E-25,-4.33E-25,-1.25E-23,-1.94E-21,-31.35642639,1.60E-22,5.05E-23,0.684671493,1.612077028,1.570822607,1.612077028,1.570822607,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0.0032866,-2.3,-1,1.49845416,1,1.19E-24,-5.86E-25,1.69E-05,-6.63E-25,-4.39E-24,-0.103056022,1.88E-25,2.42E-26,0.002250241,0.044538743,4.57E-06,-31.35645146,-0.002254676,46.64379252,0.684673014,1.462077558,1.420823483,1.762076969,1.720822019,0.996154013,0.003845987,0.089943583,0.998913057,0.001086943,0.089938364,0.99891367,0.00108633,0.047332269,0.998914495,0.001085505,0.045062164,0.998915738,0.001084262,0.044771173,0.998918234,0.001081766,0.044935432
0.0065732,-2.299998902,-1,1.493816639,0.999999337,-6.64E-08,0.001149746,6.75E-05,0.000146381,1.50E-08,-0.206112126,-7.41E-06,0.153299475,0.004500487,0.351499539,0.010905693,-29.26257907,-10.96122681,75.44429211,-0.484527668,1.356387954,1.456033548,1.912076893,1.870821078,0.99230808,0.003845933,0.089941635,0.997826118,0.001086939,0.08993745,0.997826723,0.001086946,0.048576155,0.997827549,0.001086946,0.045062955,0.997828791,0.001086946,0.044771714,0.997831287,0.001086946,0.044937043
0.0098598,-2.299981297,-0.99999973,1.486190686,0.999985864,-0.000270618,0.005308856,0.000123588,0.001301619,3.59E-05,-0.30228651,-0.036032575,0.401254664,0.002908039,1.174001892,0.08309057,-23.79585815,-10.96194727,75.44392206,-0.484510875,1.5063873,1.606032498,2.062076794,2.02081935,0.988462311,0.003845769,0.089939546,0.996739188,0.00108693,0.089936498,0.996739686,0.001087037,0.052028555,0.996740512,0.001087037,0.045063012,0.996741755,0.001087037,0.04477175,0.996744251,0.001087037,0.044937087
0.0131464,-2.299892872,-0.999995435,1.475949137,0.999912451,-0.00108215,0.013186873,0.00015764,0.005160094,0.000308943,-0.380493971,-0.072060108,0.649208636,0.001315645,2.657087421,0.244224265,-18.35955459,-10.95686837,75.44416719,-0.484474979,1.656386938,1.756031923,2.212076663,2.170815107,0.984616769,0.003845542,0.0899373,0.995652254,0.001086934,0.089935351,0.995652252,0.001087434,0.074456866,0.995653078,0.001087434,0.045063228,0.995654321,0.001087434,0.044771854,0.995656817,0.001087434,0.044937248
0.016433,-2.299620628,-0.99997571,1.463629731,0.999689893,-0.002434718,0.024782271,0.000170894,0.013892876,0.001111611,-0.440834477,-0.108070948,0.897163414,-0.00027663,4.921143328,0.511876921,-12.99450966,-10.94936663,75.44168468,-0.484058141,1.80638667,1.906031498,2.362076486,2.320764854,0.98077123,0.003845539,0.08993489,0.99456536,0.001086894,0.089471436,0.994576867,0.001075385,0.089923773,0.994577693,0.001075385,0.045056665,0.994578936,0.001075385,0.04476946,0.994581432,0.001075385,0.04493359
0.0197196,-2.29898048,-0.99991951,1.449765347,0.999186661,-0.004327848,0.040090637,0.000164575,0.030066705,0.002793945,-0.483542229,-0.144057133,1.145110033,-0.001867535,7.783669152,0.903493796,-10.48547766,-34.29302897,52.11696733,2.005287861,1.956386442,2.05603114,2.51207624,2.170776998,0.976924847,0.003846382,0.089932317,0.993478238,0.001087122,0.089455128,0.993517104,0.001059763,0.089920453,0.99351793,0.001059763,0.045048335,0.993519173,0.001059763,0.044766293,0.993521669,0.001059763,0.044928946
0.0230062,-2.297718708,-0.999795066,1.434744574,0.998258782,-0.007332101,0.058528546,0.000230451,0.055648509,0.005763368,-0.518003797,-0.256764592,1.316397643,0.004723043,11.2395772,1.597285831,-8.149343731,-57.72645875,28.76441224,4.494635337,2.106386236,2.206030815,2.662075885,2.020788841,0.973075823,0.003849025,0.089929595,0.992390579,0.001087658,0.089440356,0.992472234,0.00104487,0.089917006,0.99247306,0.00104487,0.045040462,0.992474303,0.00104487,0.044763102,0.992476799,0.00104487,0.044924638
0.0262928,-2.295522474,-0.99955052,1.418806631,0.996800213,-0.0125875,0.078933865,0.000578776,0.092588501,0.011013007,-0.544787428,-0.446488355,1.410934752,0.01949511,15.45677636,2.85309394,-4.313091036,-66.33498311,20.25352872,5.393700535,2.256386037,2.356030504,2.812075342,2.062443273,0.969221093,0.003854729,0.089926753,0.99130189,0.001088689,0.089425773,0.99144135,0.001030884,0.089913499,0.991442175,0.001030884,0.045032981,0.991443418,0.001030884,0.044759776,0.991445914,0.001030884,0.04492069
0.0295794,-2.292013084,-0.999091292,1.40225628,0.994716662,-0.020865548,0.1005059,0.001397831,0.143388737,0.020389984,-0.558962831,-0.664504891,1.477499993,0.037222045,20.4181,4.861459771,0.175506779,-66.55339558,20.10154548,5.393747014,2.406385838,2.506030192,2.962074443,2.212436886,0.965355888,0.003865205,0.08992384,0.990211427,0.001090463,0.089411355,0.990423327,0.001018023,0.089909986,0.990424153,0.001018023,0.045025819,0.990425396,0.001018023,0.044756167,0.990427892,0.001018023,0.044917113
0.032866,-2.286738073,-0.998257402,1.385504582,0.991873851,-0.03236362,0.123008448,0.002788984,0.210494859,0.036367657,-0.558386011,-0.883239262,1.543565727,0.054949132,25.97514172,7.718406396,4.234287526,-66.78905592,19.89053199,5.393756202,2.556385633,2.656029867,3.112072731,2.362434185,0.961473113,0.003882775,0.089920936,0.989118114,0.001093313,0.089397369,0.989416775,0.001006552,0.089906537,0.989417601,0.001006552,0.045018899,0.989418844,0.001006552,0.044752067,0.98942134,0.001006552,0.044913908
0.0361526,-2.279178762,-0.996809539,1.368973722,0.988093371,-0.047067945,0.146399852,0.004814229,0.295864752,0.061734969,-0.544469603,-1.102748154,1.608937944,0.07267625,32.10928894,11.52240687,7.734498404,-67.04164953,19.61980105,5.393733434,2.706385412,2.806029516,3.262068254,2.512432583,0.957562673,0.00391044,0.089918155,0.988020456,0.001097659,0.089384251,0.98841999,0.000996786,0.089903239,0.988420815,0.000996786,0.045012138,0.988422058,0.000996786,0.044747209,0.988424554,0.000996786,0.044911056
